SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1524.00,1544.00,1501.15,1509.80,1502.20,1513.10,668,22503,34423308.00,
500003,AEGIS LOGIS ,A ,Q,227.30,230.25,220.10,222.40,222.40,227.75,428,9646,2194101.00,
500008,AMAR RAJA BA,A ,Q,618.75,620.95,612.35,613.65,612.50,620.50,361,10276,6319578.00,
500009,A.SARABHAI  ,X ,Q,13.90,13.90,13.33,13.34,13.60,13.88,48,23688,321069.00,
500010,HDFC        ,A ,Q,2206.00,2210.05,2170.20,2182.40,2175.75,2197.00,2695,64630,141602847.00,
500012,ANDHRA PETRO,X ,Q,57.95,57.95,55.00,55.80,55.70,56.65,316,38439,2145571.00,
500013,ANSAL INFRAS,B ,Q,6.05,6.06,5.91,6.06,6.06,6.08,17,5627,33581.00,
500014,APPLE FINANC,XT,Q,1.55,1.55,1.50,1.55,1.55,1.55,12,11474,17274.00,
500016,ARUNAHTEL   ,XT,Q,6.10,6.13,6.10,6.13,6.13,6.42,2,1865,11382.00,
500020,BOM DYEING  ,A ,Q,114.80,116.50,113.00,113.55,113.55,114.55,1855,175301,20126719.00,
500023,ASIANHOTNR  ,B ,Q,125.00,139.00,125.00,134.90,134.90,127.90,10,603,79509.00,
500024,ASSAMCO     ,T ,Q,1.45,1.50,1.45,1.45,1.45,1.52,25,16879,24669.00,
500027,ATUL LTD.   ,A ,Q,4090.10,4120.50,4070.10,4102.25,4079.15,4099.60,99,303,1241970.00,
500028,ATV PROJECTS,XT,Q,3.55,3.87,3.52,3.52,3.52,3.70,14,12739,45084.00,
500029,AUTOLITE(I) ,Z ,Q,28.30,28.30,26.85,26.85,26.85,28.20,7,1035,28565.00,
500031,BAJAJ ELECT.,A ,Q,503.40,513.75,502.20,508.70,508.95,506.00,231,3985,2024456.00,
500032,BAJAJHIND   ,B ,Q,8.51,8.60,8.41,8.50,8.41,8.53,120,76584,652196.00,
500033,FORCE MOTR  ,A ,Q,1479.95,1485.00,1450.00,1452.85,1452.85,1470.90,625,4921,7178558.00,
